	cid	category	affirmation
0	0	Love	I am a radiant being of love, and I attract loving experiences into my life effortlessly
1	0	Love	 Love flows through me, illuminating every corner of my being and touching all whom I encounter
2	0	Love	 I am worthy of deep, meaningful connections that nurture and uplift my soul
3	0	Love	 Every day, I choose to lead with love, kindness, and compassion in all my interactions
4	0	Love	 My heart is a boundless reservoir of love, capable of healing and transforming any situation
5	0	Love	 I honor the divine presence of love within myself and in every living being around me
6	0	Love	 I embrace vulnerability as the gateway to authentic connections and profound love
7	0	Love	 I am a magnet for harmonious relationships that reflect the beauty and depth of my heart
8	0	Love	 My love knows no bounds, and I give and receive love freely and unconditionally
9	0	Love	 I am open to the magic of love, allowing it to guide me towards greater joy and fulfillment
10	0	Love	 I celebrate the uniqueness of every relationship in my life, cherishing each connection deeply
11	0	Love	 Love empowers me to express myself authentically and to receive love in return
12	0	Love	 I release all fears and barriers to love, allowing it to flow through me with grace and ease
13	0	Love	 My loving presence enriches the lives of those around me, creating a ripple effect of positivity
14	0	Love	 I am a vessel of divine love, spreading warmth, kindness, and empathy wherever I go
15	0	Love	  I am worthy of love and I attract it effortlessly into my life
16	0	Love	 My heart is open to giving and receiving love in abundance
17	0	Love	 I am surrounded by loving and supportive relationships
18	0	Love	 I deserve to be cherished and valued for who I am
19	0	Love	 Love flows freely through me, enriching every aspect of my life
20	0	Love	 I am deeply connected to the love that exists within me and around me
21	0	Love	 I nurture and cultivate loving connections with others
22	0	Love	 Every day, I choose love over fear, resentment, or anger
23	0	Love	 My capacity to love is boundless, and it grows stronger every day
24	0	Love	 I am grateful for the love that fills my heart and brightens my world
25	0	Love	 I am a magnet for positive and loving energy
26	0	Love	 I radiate love and compassion to everyone I meet
27	0	Love	 I am worthy of receiving the love I desire
28	0	Love	 Love is my natural state of being, and I embrace it fully
29	0	Love	 I trust in the power of love to heal and transform
30	0	Love	 I am loved unconditionally, just as I am
31	0	Love	 I give love freely, without expecting anything in return
32	0	Love	 I am worthy of a deep and fulfilling romantic relationship
33	0	Love	 I am surrounded by love, and I am safe and protected
34	0	Love	 I am deserving of all the love and happiness life has to offer
35	0	Love	 My heart is a beacon of love, shining brightly for all to see
36	0	Love	 I attract loving and supportive people into my life effortlessly
37	0	Love	 I am worthy of love and respect in all of my relationships
38	0	Love	 I am open to giving and receiving love without reservation
39	0	Love	  Love flows effortlessly into my life
40	0	Love	 I am worthy of giving and receiving love
41	0	Love	 My heart is open to love in all its forms
42	0	Love	 Love surrounds me, enveloping me in its warmth
43	0	Love	 I attract love by being my authentic self
44	0	Love	 Love is my natural state of being
45	0	Love	 I am deserving of deep, meaningful connections
46	0	Love	 Love radiates from within me, touching everyone I encounter
47	0	Love	 I am a magnet for love and positivity
48	0	Love	 I am grateful for the love that fills my life
49	0	Love	 Love is the foundation of all my relationships
50	0	Love	 I am open to giving and receiving love without fear
51	0	Love	 Love flows through me, connecting me to all beings
52	0	Love	 I am surrounded by love and support at all times
53	0	Love	 Love guides my actions and decisions
54	0	Love	 I am a vessel of love, sharing its light with the world
55	0	Love	 Love heals and transforms me from within
56	0	Love	 I am worthy of experiencing deep, fulfilling love
57	0	Love	 Love is my greatest strength and source of power
58	0	Love	 I am deeply connected to the universal energy of love
59	0	Love	 Love is abundant and limitless in my life
60	0	Love	 I am grateful for the love that fills my heart
61	0	Love	 Love brings me peace and harmony
62	0	Love	 I am surrounded by loving and supportive people
63	0	Love	 Love is the essence of who I am
64	0	Love	  Love flows freely and abundantly in my life
65	0	Love	 I am a magnet for harmonious and loving relationships
66	0	Love	 Love is my guiding light in all that I do
67	0	Love	 I am worthy of deep and profound love
68	0	Love	 My heart is open to giving and receiving love without conditions
69	0	Love	 Love fills every corner of my being, radiating outwards
70	0	Love	 I attract loving and supportive people into my life
71	0	Love	 Love is the fuel that propels me forward on my journey
72	0	Love	 I am surrounded by love in every aspect of my life
73	0	Love	 Love is the foundation of my existence, nurturing and sustaining me
74	0	Love	 I am grateful for the love that flows through me and around me
75	0	Love	 Love empowers me to overcome any obstacle with grace and ease
76	0	Love	 I am deserving of the purest and most unconditional love
77	0	Love	 Love is my birthright, and I embrace it fully
78	0	Love	 I am a vessel of love, spreading its warmth and kindness wherever I go
79	0	Love	 Love is the most powerful force in the universe, and I am connected to it
80	0	Love	 I am open to receiving all the love that the universe has to offer
81	0	Love	 Love is my constant companion, guiding me towards my highest good
82	0	Love	 I am surrounded by loving energy that uplifts and inspires me
83	0	Love	 Love fills me with a deep sense of peace and contentment
84	0	Love	 I am worthy of being loved deeply and completely
85	0	Love	 Love is my superpower, and it radiates from every pore of my being
86	0	Love	 I am grateful for the love that I give and receive every day
87	0	Love	 Love flows effortlessly into my life, bringing joy and fulfillment
88	0	Love	 I am a beacon of love, illuminating the world with my presence
89	0	Love	  Love is the essence of my being, guiding me towards compassion and understanding
90	0	Love	 I am surrounded by an abundance of love that nourishes my soul
91	0	Love	 Love is the greatest gift I can give and receive, and I do so freely and joyfully
92	0	Love	 My heart is a magnet for all the love and happiness the universe has to offer
93	0	Love	 I am deeply grateful for the love that fills every aspect of my life
94	0	Love	 Love flows through me effortlessly, touching everyone I meet with its warmth
95	0	Love	 I am worthy of experiencing deep and meaningful love in all areas of my life
96	0	Love	 Love is the foundation of my relationships, bringing harmony and balance
97	0	Love	 I am a conduit for love, spreading its light and healing energy wherever I go
98	0	Love	 Love is my true nature, and I embrace it fully with an open heart
99	1	Friendship	My friendships are a tapestry of diverse souls, each adding richness to my life
100	1	Friendship	 I am a magnet for authentic connections that nurture and uplift me
101	1	Friendship	 My circle of friends reflects the beautiful mosaic of humanity, embracing differences with love
102	1	Friendship	 Every friend I make is a new chapter in the story of my growth and evolution
103	1	Friendship	 I attract friends who resonate with my essence, creating deep bonds of understanding
104	1	Friendship	 My friendships are a sanctuary of trust and acceptance, where I am free to be myself
105	1	Friendship	 I cultivate friendships that inspire me to dream bigger and reach higher
106	1	Friendship	 Each friend I have is a reflection of the love and kindness I offer to the world
107	1	Friendship	 My friendships are a symphony of laughter, joy, and shared adventures
108	1	Friendship	 I am surrounded by friends who see my potential and encourage me to shine
109	1	Friendship	 Every friend I make expands my horizons, introducing me to new perspectives and experiences
110	1	Friendship	 My friendships are an oasis of support, where I find solace in times of need
111	1	Friendship	 I attract friends who celebrate my victories and lift me up during my challenges
112	1	Friendship	 My friendships are like flowers in a garden, blooming with love and care
113	1	Friendship	 I am a magnet for kindred spirits who share my values and passions
114	1	Friendship	 My friendships are a testament to the beauty of human connection, weaving threads of love and understanding
115	1	Friendship	 Every friend I have is a treasure, adding sparkle to the tapestry of my life
116	1	Friendship	 I nurture friendships with intention and care, sowing seeds of love and compassion
117	1	Friendship	 My circle of friends is a reflection of the light I bring into the world, illuminating each other's lives
118	1	Friendship	 I am grateful for the abundance of love and support that flows freely within my friendships
119	1	Friendship	  My friendships are a source of endless joy and laughter
120	1	Friendship	 I attract friends who support and uplift me unconditionally
121	1	Friendship	 Each friend in my life brings a unique perspective and adds depth to our bond
122	1	Friendship	 I nurture my friendships with care and affection
123	1	Friendship	 I am grateful for the deep connections I share with my friends
124	1	Friendship	 My friendships are built on a foundation of trust and mutual respect
125	1	Friendship	 I am surrounded by friends who celebrate my successes and offer support during challenges
126	1	Friendship	 Every friend I have enriches my life in their own special way
127	1	Friendship	 I am a loyal and dependable friend who is always there when needed
128	1	Friendship	 I attract friends who share my values and aspirations
129	1	Friendship	 My friendships are a reflection of the love and kindness I give and receive
130	1	Friendship	 I am open to forming new friendships and welcoming new people into my life
